Unnamed: 0,_time,etat_failed
513,2023-05-19 00:00:00+00:00,65
514,2023-05-20 00:00:00+00:00,49
515,2023-05-21 00:00:00+00:00,60
516,2023-05-22 00:00:00+00:00,62
517,2023-05-23 00:00:00+00:00,76
518,2023-05-24 00:00:00+00:00,75
519,2023-05-25 00:00:00+00:00,69
520,2023-05-26 00:00:00+00:00,96
521,2023-05-27 00:00:00+00:00,66
522,2023-05-28 00:00:00+00:00,55
523,2023-05-29 00:00:00+00:00,51
524,2023-05-30 00:00:00+00:00,66
525,2023-05-31 00:00:00+00:00,43
526,2023-06-01 00:00:00+00:00,44
527,2023-06-02 00:00:00+00:00,32
